teamID,Win_Pct,Run_Diff,yearID,League_Division
ARI,0.4012345679012346,-123,2010,NL W
ATL,0.5617283950617284,109,2010,NL E
BAL,0.4074074074074074,-172,2010,AL E
BOS,0.5493827160493827,74,2010,AL E
CHA,0.5432098765432098,48,2010,AL C
CHN,0.46296296296296297,-82,2010,NL C
CIN,0.5617283950617284,105,2010,NL C
CLE,0.42592592592592593,-106,2010,AL C
COL,0.5123456790123457,53,2010,NL W
DET,0.5,8,2010,AL C
FLO,0.49382716049382713,2,2010,NL E
HOU,0.4691358024691358,-118,2010,NL C
KCA,0.41358024691358025,-169,2010,AL C
LAA,0.49382716049382713,-21,2010,AL W
LAN,0.49382716049382713,-25,2010,NL W
MIL,0.47530864197530864,-54,2010,NL C
MIN,0.5802469135802469,110,2010,AL C
NYA,0.5864197530864198,166,2010,AL E
NYN,0.4876543209876543,4,2010,NL E
OAK,0.5,37,2010,AL W
PHI,0.5987654320987654,132,2010,NL E
PIT,0.35185185185185186,-279,2010,NL C
SDN,0.5555555555555556,84,2010,NL W
SEA,0.3765432098765432,-185,2010,AL W
SFN,0.5679012345679012,114,2010,NL W
SLN,0.5308641975308642,95,2010,NL C
TBA,0.5925925925925926,153,2010,AL E
TEX,0.5555555555555556,100,2010,AL W
TOR,0.5246913580246914,27,2010,AL E
WAS,0.42592592592592593,-87,2010,NL E
ARI,0.5802469135802469,69,2011,NL W
ATL,0.5493827160493827,36,2011,NL E
BAL,0.42592592592592593,-152,2011,AL E
BOS,0.5555555555555556,138,2011,AL E
CHA,0.4876543209876543,-52,2011,AL C
CHN,0.4382716049382716,-102,2011,NL C
CIN,0.4876543209876543,15,2011,NL C
CLE,0.49382716049382713,-56,2011,AL C
COL,0.4506172839506173,-39,2011,NL W
DET,0.5864197530864198,76,2011,AL C
FLO,0.4444444444444444,-77,2011,NL E
HOU,0.345679012345679,-181,2011,NL C
KCA,0.4382716049382716,-32,2011,AL C
LAA,0.5308641975308642,34,2011,AL W
LAN,0.5093167701863354,32,2011,NL W
MIL,0.5925925925925926,83,2011,NL C
MIN,0.3888888888888889,-185,2011,AL C
NYA,0.5987654320987654,210,2011,AL E
NYN,0.47530864197530864,-24,2011,NL E
OAK,0.4567901234567901,-34,2011,AL W
PHI,0.6296296296296297,184,2011,NL E
PIT,0.4444444444444444,-102,2011,NL C
SDN,0.4382716049382716,-18,2011,NL W
SEA,0.41358024691358025,-119,2011,AL W
SFN,0.5308641975308642,-8,2011,NL W
SLN,0.5555555555555556,70,2011,NL C
TBA,0.5617283950617284,93,2011,AL E
TEX,0.5925925925925926,178,2011,AL W
TOR,0.5,-18,2011,AL E
WAS,0.4968944099378882,-19,2011,NL E
ARI,0.5,46,2012,NL W
ATL,0.5802469135802469,100,2012,NL E
BAL,0.5740740740740741,7,2012,AL E
BOS,0.42592592592592593,-72,2012,AL E
CHA,0.5246913580246914,72,2012,AL C
CHN,0.3765432098765432,-146,2012,NL C
CIN,0.5987654320987654,81,2012,NL C
CLE,0.41975308641975306,-178,2012,AL C
COL,0.3950617283950617,-132,2012,NL W
DET,0.5432098765432098,56,2012,AL C
HOU,0.3395061728395062,-211,2012,NL C
KCA,0.4444444444444444,-70,2012,AL C
LAA,0.5493827160493827,68,2012,AL W
LAN,0.5308641975308642,40,2012,NL W
MIA,0.42592592592592593,-115,2012,NL E
MIL,0.5123456790123457,43,2012,NL C
MIN,0.4074074074074074,-131,2012,AL C
NYA,0.5864197530864198,136,2012,AL E
NYN,0.4567901234567901,-59,2012,NL E
OAK,0.5802469135802469,99,2012,AL W
PHI,0.5,4,2012,NL E
PIT,0.4876543209876543,-23,2012,NL C
SDN,0.4691358024691358,-59,2012,NL W
SEA,0.46296296296296297,-32,2012,AL W
SFN,0.5802469135802469,69,2012,NL W
SLN,0.5432098765432098,117,2012,NL C
TBA,0.5555555555555556,120,2012,AL E
TEX,0.5740740740740741,101,2012,AL W
TOR,0.4506172839506173,-68,2012,AL E
WAS,0.6049382716049383,137,2012,NL E
ARI,0.5,-10,2013,NL W
ATL,0.5925925925925926,140,2013,NL E
BAL,0.5246913580246914,36,2013,AL E
BOS,0.5987654320987654,197,2013,AL E
CHA,0.3888888888888889,-125,2013,AL C
CHN,0.4074074074074074,-87,2013,NL C
CIN,0.5555555555555556,109,2013,NL C
CLE,0.5679012345679012,83,2013,AL C
COL,0.4567901234567901,-54,2013,NL W
DET,0.5740740740740741,172,2013,AL C
HOU,0.3148148148148148,-238,2013,AL W
KCA,0.5308641975308642,47,2013,AL C
LAA,0.48148148148148145,-4,2013,AL W
LAN,0.5679012345679012,67,2013,NL W
MIA,0.38271604938271603,-133,2013,NL E
MIL,0.4567901234567901,-47,2013,NL C
MIN,0.4074074074074074,-174,2013,AL C
NYA,0.5246913580246914,-21,2013,AL E
NYN,0.4567901234567901,-65,2013,NL E
OAK,0.5925925925925926,142,2013,AL W
PHI,0.4506172839506173,-139,2013,NL E
PIT,0.5802469135802469,57,2013,NL C
SDN,0.4691358024691358,-82,2013,NL W
SEA,0.4382716049382716,-130,2013,AL W
SFN,0.4691358024691358,-62,2013,NL W
SLN,0.5987654320987654,187,2013,NL C
TBA,0.5644171779141104,54,2013,AL E
TEX,0.558282208588957,94,2013,AL W
TOR,0.4567901234567901,-44,2013,AL E
WAS,0.5308641975308642,30,2013,NL E
ARI,0.3950617283950617,-127,2014,NL W
ATL,0.4876543209876543,-24,2014,NL E
BAL,0.5925925925925926,112,2014,AL E
BOS,0.4382716049382716,-81,2014,AL E
CHA,0.4506172839506173,-98,2014,AL C
CHN,0.4506172839506173,-93,2014,NL C
CIN,0.4691358024691358,-17,2014,NL C
CLE,0.5246913580246914,16,2014,AL C
COL,0.4074074074074074,-63,2014,NL W
DET,0.5555555555555556,52,2014,AL C
HOU,0.43209876543209874,-94,2014,AL W
KCA,0.5493827160493827,27,2014,AL C
LAA,0.6049382716049383,143,2014,AL W
LAN,0.5802469135802469,101,2014,NL W
MIA,0.47530864197530864,-29,2014,NL E
MIL,0.5061728395061729,-7,2014,NL C
MIN,0.43209876543209874,-62,2014,AL C
NYA,0.5185185185185185,-31,2014,AL E
NYN,0.4876543209876543,11,2014,NL E
OAK,0.5432098765432098,157,2014,AL W
PHI,0.4506172839506173,-68,2014,NL E
PIT,0.5432098765432098,51,2014,NL C
SDN,0.47530864197530864,-42,2014,NL W
SEA,0.5370370370370371,80,2014,AL W
SFN,0.5432098765432098,51,2014,NL W
SLN,0.5555555555555556,16,2014,NL C
TBA,0.47530864197530864,-13,2014,AL E
TEX,0.41358024691358025,-136,2014,AL W
TOR,0.5123456790123457,37,2014,AL E
WAS,0.5925925925925926,131,2014,NL E
ARI,0.4876543209876543,7,2015,NL W
ATL,0.41358024691358025,-187,2015,NL E
BAL,0.5,20,2015,AL E
BOS,0.48148148148148145,-5,2015,AL E
CHA,0.4691358024691358,-79,2015,AL C
CHN,0.5987654320987654,81,2015,NL C
CIN,0.3950617283950617,-114,2015,NL C
CLE,0.5031055900621118,29,2015,AL C
COL,0.41975308641975306,-107,2015,NL W
DET,0.45962732919254656,-114,2015,AL C
HOU,0.5308641975308642,111,2015,AL W
KCA,0.5864197530864198,83,2015,AL C
LAA,0.5246913580246914,-14,2015,AL W
LAN,0.5679012345679012,72,2015,NL W
MIA,0.4382716049382716,-65,2015,NL E
MIL,0.41975308641975306,-82,2015,NL C
MIN,0.5123456790123457,-4,2015,AL C
NYA,0.5370370370370371,66,2015,AL E
NYN,0.5555555555555556,70,2015,NL E
OAK,0.41975308641975306,-35,2015,AL W
PHI,0.3888888888888889,-183,2015,NL E
PIT,0.6049382716049383,101,2015,NL C
SDN,0.4567901234567901,-81,2015,NL W
SEA,0.4691358024691358,-70,2015,AL W
SFN,0.5185185185185185,69,2015,NL W
SLN,0.6172839506172839,122,2015,NL C
TBA,0.49382716049382713,2,2015,AL E
TEX,0.5432098765432098,18,2015,AL W
TOR,0.5740740740740741,221,2015,AL E
WAS,0.5123456790123457,68,2015,NL E
ARI,0.42592592592592593,-138,2016,NL W
ATL,0.422360248447205,-130,2016,NL E
BAL,0.5493827160493827,29,2016,AL E
BOS,0.5740740740740741,184,2016,AL E
CHA,0.48148148148148145,-29,2016,AL C
CHN,0.639751552795031,252,2016,NL C
CIN,0.41975308641975306,-138,2016,NL C
CLE,0.5838509316770186,101,2016,AL C
COL,0.46296296296296297,-15,2016,NL W
DET,0.5341614906832298,29,2016,AL C
HOU,0.5185185185185185,23,2016,AL W
KCA,0.5,-37,2016,AL C
LAA,0.4567901234567901,-10,2016,AL W
LAN,0.5617283950617284,87,2016,NL W
MIA,0.4906832298136646,-27,2016,NL E
MIL,0.4506172839506173,-62,2016,NL C
MIN,0.36419753086419754,-167,2016,AL C
NYA,0.5185185185185185,-22,2016,AL E
NYN,0.5370370370370371,54,2016,NL E
OAK,0.42592592592592593,-108,2016,AL W
PHI,0.4382716049382716,-186,2016,NL E
PIT,0.484472049689441,-29,2016,NL C
SDN,0.41975308641975306,-84,2016,NL W
SEA,0.5308641975308642,61,2016,AL W
SFN,0.5370370370370371,84,2016,NL W
SLN,0.5308641975308642,67,2016,NL C
TBA,0.41975308641975306,-41,2016,AL E
TEX,0.5864197530864198,8,2016,AL W
TOR,0.5493827160493827,93,2016,AL E
WAS,0.5864197530864198,151,2016,NL E
ARI,0.5740740740740741,153,2017,NL W
ATL,0.4444444444444444,-89,2017,NL E
BAL,0.46296296296296297,-98,2017,AL E
BOS,0.5740740740740741,117,2017,AL E
CHA,0.41358024691358025,-114,2017,AL C
CHN,0.5679012345679012,127,2017,NL C
CIN,0.41975308641975306,-116,2017,NL C
CLE,0.6296296296296297,254,2017,AL C
COL,0.5370370370370371,67,2017,NL W
DET,0.3950617283950617,-159,2017,AL C
HOU,0.6234567901234568,196,2017,AL W
KCA,0.49382716049382713,-89,2017,AL C
LAA,0.49382716049382713,1,2017,AL W
LAN,0.6419753086419753,190,2017,NL W
MIA,0.47530864197530864,-44,2017,NL E
MIL,0.5308641975308642,35,2017,NL C
MIN,0.5246913580246914,27,2017,AL C
NYA,0.5617283950617284,198,2017,AL E
NYN,0.43209876543209874,-128,2017,NL E
OAK,0.46296296296296297,-87,2017,AL W
PHI,0.4074074074074074,-92,2017,NL E
PIT,0.46296296296296297,-63,2017,NL C
SDN,0.4382716049382716,-212,2017,NL W
SEA,0.48148148148148145,-22,2017,AL W
SFN,0.3950617283950617,-137,2017,NL W
SLN,0.5123456790123457,56,2017,NL C
TBA,0.49382716049382713,-10,2017,AL E
TEX,0.48148148148148145,-17,2017,AL W
TOR,0.4691358024691358,-91,2017,AL E
WAS,0.5987654320987654,147,2017,NL E
ARI,0.5061728395061729,49,2018,NL W
ATL,0.5555555555555556,102,2018,NL E
BAL,0.29012345679012347,-270,2018,AL E
BOS,0.6666666666666666,229,2018,AL E
CHA,0.38271604938271603,-192,2018,AL C
CHN,0.5828220858895705,116,2018,NL C
CIN,0.41358024691358025,-123,2018,NL C
CLE,0.5617283950617284,170,2018,AL C
COL,0.558282208588957,35,2018,NL W
DET,0.3950617283950617,-166,2018,AL C
HOU,0.6358024691358025,263,2018,AL W
KCA,0.35802469135802467,-195,2018,AL C
LAA,0.49382716049382713,-1,2018,AL W
LAN,0.5644171779141104,194,2018,NL W
MIA,0.391304347826087,-220,2018,NL E
MIL,0.588957055214724,95,2018,NL C
MIN,0.48148148148148145,-37,2018,AL C
NYA,0.6172839506172839,182,2018,AL E
NYN,0.47530864197530864,-31,2018,NL E
OAK,0.5987654320987654,139,2018,AL W
PHI,0.49382716049382713,-51,2018,NL E
PIT,0.5093167701863354,-1,2018,NL C
SDN,0.4074074074074074,-150,2018,NL W
SEA,0.5493827160493827,-34,2018,AL W
SFN,0.4506172839506173,-96,2018,NL W
SLN,0.5432098765432098,68,2018,NL C
TBA,0.5555555555555556,70,2018,AL E
TEX,0.41358024691358025,-111,2018,AL W
TOR,0.4506172839506173,-123,2018,AL E
WAS,0.5061728395061729,89,2018,NL E
ARI,0.5246913580246914,70,2019,NL W
ATL,0.5987654320987654,112,2019,NL E
BAL,0.3333333333333333,-252,2019,AL E
BOS,0.5185185185185185,73,2019,AL E
CHA,0.4472049689440994,-124,2019,AL C
CHN,0.5185185185185185,97,2019,NL C
CIN,0.46296296296296297,-10,2019,NL C
CLE,0.5740740740740741,112,2019,AL C
COL,0.4382716049382716,-123,2019,NL W
DET,0.2919254658385093,-333,2019,AL C
HOU,0.6604938271604939,280,2019,AL W
KCA,0.36419753086419754,-178,2019,AL C
LAA,0.4444444444444444,-99,2019,AL W
LAN,0.654320987654321,273,2019,NL W
MIA,0.35185185185185186,-193,2019,NL E
MIL,0.5493827160493827,3,2019,NL C
MIN,0.6234567901234568,185,2019,AL C
NYA,0.6358024691358025,204,2019,AL E
NYN,0.5308641975308642,54,2019,NL E
OAK,0.5987654320987654,165,2019,AL W
PHI,0.5,-20,2019,NL E
PIT,0.42592592592592593,-153,2019,NL C
SDN,0.43209876543209874,-107,2019,NL W
SEA,0.41975308641975306,-135,2019,AL W
SFN,0.47530864197530864,-95,2019,NL W
SLN,0.5617283950617284,102,2019,NL C
TBA,0.5925925925925926,113,2019,AL E
TEX,0.48148148148148145,-68,2019,AL W
TOR,0.41358024691358025,-102,2019,AL E
WAS,0.5740740740740741,149,2019,NL E
ARI,0.4166666666666667,-26,2020,NL W
ATL,0.5833333333333334,60,2020,NL E
BAL,0.4166666666666667,-20,2020,AL E
BOS,0.4,-59,2020,AL E
CHA,0.5833333333333334,60,2020,AL C
CHN,0.5666666666666667,25,2020,NL C
CIN,0.5166666666666667,0,2020,NL C
CLE,0.5833333333333334,39,2020,AL C
COL,0.43333333333333335,-78,2020,NL W
DET,0.39655172413793105,-69,2020,AL C
HOU,0.48333333333333334,4,2020,AL W
KCA,0.43333333333333335,-24,2020,AL C
LAA,0.43333333333333335,-27,2020,AL W
LAN,0.7166666666666667,136,2020,NL W
MIA,0.5166666666666667,-41,2020,NL E
MIL,0.48333333333333334,-17,2020,NL C
MIN,0.6,54,2020,AL C
NYA,0.55,45,2020,AL E
NYN,0.43333333333333335,-22,2020,NL E
OAK,0.6,42,2020,AL W
PHI,0.4666666666666667,-5,2020,NL E
PIT,0.31666666666666665,-79,2020,NL C
SDN,0.6166666666666667,84,2020,NL W
SEA,0.45,-49,2020,AL W
SFN,0.48333333333333334,2,2020,NL W
SLN,0.5172413793103449,11,2020,NL C
TBA,0.6666666666666666,60,2020,AL E
TEX,0.36666666666666664,-88,2020,AL W
TOR,0.5333333333333333,-10,2020,AL E
WAS,0.43333333333333335,-8,2020,NL E
ARI,0.32098765432098764,-214,2021,NL W
ATL,0.546583850931677,134,2021,NL E
BAL,0.32098765432098764,-297,2021,AL E
BOS,0.5679012345679012,80,2021,AL E
CHA,0.5740740740740741,160,2021,AL C
CHN,0.4382716049382716,-134,2021,NL C
CIN,0.5123456790123457,26,2021,NL C
CLE,0.49382716049382713,-10,2021,AL C
COL,0.45962732919254656,-57,2021,NL W
DET,0.47530864197530864,-59,2021,AL C
HOU,0.5864197530864198,205,2021,AL W
KCA,0.4567901234567901,-102,2021,AL C
LAA,0.47530864197530864,-81,2021,AL W
LAN,0.654320987654321,269,2021,NL W
MIA,0.41358024691358025,-78,2021,NL E
MIL,0.5864197530864198,115,2021,NL C
MIN,0.4506172839506173,-105,2021,AL C
NYA,0.5679012345679012,42,2021,AL E
NYN,0.47530864197530864,-32,2021,NL E
OAK,0.5308641975308642,56,2021,AL W
PHI,0.5061728395061729,-11,2021,NL E
PIT,0.3765432098765432,-224,2021,NL C
SDN,0.4876543209876543,21,2021,NL W
SEA,0.5555555555555556,-51,2021,AL W
SFN,0.6604938271604939,210,2021,NL W
SLN,0.5555555555555556,34,2021,NL C
TBA,0.6172839506172839,206,2021,AL E
TEX,0.37037037037037035,-190,2021,AL W
TOR,0.5617283950617284,183,2021,AL E
WAS,0.4012345679012346,-96,2021,NL E
ARI,0.4567901234567901,-38,2022,NL W
ATL,0.6234567901234568,180,2022,NL E
BAL,0.5123456790123457,-14,2022,AL E
BOS,0.48148148148148145,-52,2022,AL E
CHA,0.5,-31,2022,AL C
CHN,0.4567901234567901,-74,2022,NL C
CIN,0.38271604938271603,-167,2022,NL C
CLE,0.5679012345679012,64,2022,AL C
COL,0.41975308641975306,-175,2022,NL W
DET,0.4074074074074074,-156,2022,AL C
HOU,0.654320987654321,219,2022,AL W
KCA,0.4012345679012346,-170,2022,AL C
LAA,0.4506172839506173,-45,2022,AL W
LAN,0.6851851851851852,334,2022,NL W
MIA,0.42592592592592593,-90,2022,NL E
MIL,0.5308641975308642,37,2022,NL C
MIN,0.48148148148148145,12,2022,AL C
NYA,0.6111111111111112,240,2022,AL E
NYN,0.6234567901234568,166,2022,NL E
OAK,0.37037037037037035,-202,2022,AL W
PHI,0.5370370370370371,62,2022,NL E
PIT,0.38271604938271603,-226,2022,NL C
SDN,0.5493827160493827,45,2022,NL W
SEA,0.5555555555555556,67,2022,AL W
SFN,0.5,19,2022,NL W
SLN,0.5740740740740741,135,2022,NL C
TBA,0.5308641975308642,52,2022,AL E
TEX,0.41975308641975306,-36,2022,AL W
TOR,0.5679012345679012,96,2022,AL E
WAS,0.3395061728395062,-252,2022,NL E
